profile,type,REGION,time,price
baseload,Energy,NSW,1/07/2024,143.6
baseload,Energy,QLD,1/07/2024,99.2
baseload,Energy,SA,1/07/2024,125.6
baseload,Energy,VIC,1/07/2024,97.7
solar,Energy,NSW,1/07/2024,58.2
solar,Energy,QLD,1/07/2024,48.3
solar,Energy,SA,1/07/2024,67.4
solar,Energy,VIC,1/07/2024,53.6
solar,green,NSW,1/07/2024,38
solar,green,QLD,1/07/2024,38
solar,green,SA,1/07/2024,38
solar,green,VIC,1/07/2024,38
wind,Energy,NSW,1/07/2024,137.7
wind,Energy,QLD,1/07/2024,102.4
wind,Energy,SA,1/07/2024,63.8
wind,Energy,VIC,1/07/2024,61.8
wind,green,NSW,1/07/2024,38
wind,green,QLD,1/07/2024,38
wind,green,SA,1/07/2024,38
wind,green,VIC,1/07/2024,38
baseload,green,NSW,1/07/2024,38
baseload,green,QLD,1/07/2024,38
baseload,green,SA,1/07/2024,38
baseload,green,VIC,1/07/2024,38
baseload,Energy,NSW,1/08/2024,115
baseload,Energy,QLD,1/08/2024,101.2
baseload,Energy,SA,1/08/2024,92.8
baseload,Energy,VIC,1/08/2024,83.8
solar,Energy,NSW,1/08/2024,62.2
solar,Energy,QLD,1/08/2024,32.8
solar,Energy,SA,1/08/2024,43.6
solar,Energy,VIC,1/08/2024,52.9
solar,green,NSW,1/08/2024,38
solar,green,QLD,1/08/2024,38
solar,green,SA,1/08/2024,38
solar,green,VIC,1/08/2024,38
wind,Energy,NSW,1/08/2024,111
wind,Energy,QLD,1/08/2024,115.7
wind,Energy,SA,1/08/2024,42.1
wind,Energy,VIC,1/08/2024,47.8
wind,green,NSW,1/08/2024,38
wind,green,QLD,1/08/2024,38
wind,green,SA,1/08/2024,38
wind,green,VIC,1/08/2024,38
baseload,green,NSW,1/08/2024,38
baseload,green,QLD,1/08/2024,38
baseload,green,SA,1/08/2024,38
baseload,green,VIC,1/08/2024,38
baseload,Energy,NSW,1/09/2024,100.1
baseload,Energy,QLD,1/09/2024,102.9
baseload,Energy,SA,1/09/2024,81.1
baseload,Energy,VIC,1/09/2024,71.6
solar,Energy,NSW,1/09/2024,41.9
solar,Energy,QLD,1/09/2024,27.8
solar,Energy,SA,1/09/2024,19.1
solar,Energy,VIC,1/09/2024,23.6
solar,green,NSW,1/09/2024,38
solar,green,QLD,1/09/2024,38
solar,green,SA,1/09/2024,38
solar,green,VIC,1/09/2024,38
wind,Energy,NSW,1/09/2024,100.6
wind,Energy,QLD,1/09/2024,120.6
wind,Energy,SA,1/09/2024,61.5
wind,Energy,VIC,1/09/2024,41.8
wind,green,NSW,1/09/2024,38
wind,green,QLD,1/09/2024,38
wind,green,SA,1/09/2024,38
wind,green,VIC,1/09/2024,38
baseload,green,NSW,1/09/2024,38
baseload,green,QLD,1/09/2024,38
baseload,green,SA,1/09/2024,38
baseload,green,VIC,1/09/2024,38
baseload,Energy,NSW,1/10/2024,99.9
baseload,Energy,QLD,1/10/2024,91.6
baseload,Energy,SA,1/10/2024,57.7
baseload,Energy,VIC,1/10/2024,56.1
solar,Energy,NSW,1/10/2024,50.5
solar,Energy,QLD,1/10/2024,33.1
solar,Energy,SA,1/10/2024,14.1
solar,Energy,VIC,1/10/2024,16.5
solar,green,NSW,1/10/2024,38
solar,green,QLD,1/10/2024,38
solar,green,SA,1/10/2024,38
solar,green,VIC,1/10/2024,38
wind,Energy,NSW,1/10/2024,102
wind,Energy,QLD,1/10/2024,98.3
wind,Energy,SA,1/10/2024,34.6
wind,Energy,VIC,1/10/2024,32.2
wind,green,NSW,1/10/2024,38
wind,green,QLD,1/10/2024,38
wind,green,SA,1/10/2024,38
wind,green,VIC,1/10/2024,38
baseload,green,NSW,1/10/2024,38
baseload,green,QLD,1/10/2024,38
baseload,green,SA,1/10/2024,38
baseload,green,VIC,1/10/2024,38
baseload,Energy,NSW,1/11/2024,87.9
baseload,Energy,QLD,1/11/2024,103.3
baseload,Energy,SA,1/11/2024,51.2
baseload,Energy,VIC,1/11/2024,57.4
solar,Energy,NSW,1/11/2024,48.6
solar,Energy,QLD,1/11/2024,66.4
solar,Energy,SA,1/11/2024,13.8
solar,Energy,VIC,1/11/2024,19.7
solar,green,NSW,1/11/2024,38
solar,green,QLD,1/11/2024,38
solar,green,SA,1/11/2024,38
solar,green,VIC,1/11/2024,38
wind,Energy,NSW,1/11/2024,88.9
wind,Energy,QLD,1/11/2024,115
wind,Energy,SA,1/11/2024,31.2
wind,Energy,VIC,1/11/2024,38.4
wind,green,NSW,1/11/2024,38
wind,green,QLD,1/11/2024,38
wind,green,SA,1/11/2024,38
wind,green,VIC,1/11/2024,38
baseload,green,NSW,1/11/2024,38
baseload,green,QLD,1/11/2024,38
