REGION,DURATION,YEAR,SPREAD
NSW,0.5,2025,390.97
NSW,1,2025,298.67
NSW,2,2025,218.55
NSW,4,2025,164.54
QLD,0.5,2025,520.85
QLD,1,2025,375.25
QLD,2,2025,262.2
QLD,4,2025,185.98
SA,0.5,2025,596.68
SA,1,2025,459.1
SA,2,2025,333.2
SA,4,2025,236.45
TAS,0.5,2025,257.95
TAS,1,2025,206.12
TAS,2,2025,162.7
TAS,4,2025,126.06
VIC,0.5,2025,452.03
VIC,1,2025,332.02
VIC,2,2025,246.92
VIC,4,2025,182.29
NSW,0.5,2026,489.95
NSW,1,2026,340.59
NSW,2,2026,246.38
NSW,4,2026,178.04
QLD,0.5,2026,440.81
QLD,1,2026,339.03
QLD,2,2026,243.94
QLD,4,2026,175.62
SA,0.5,2026,520.43
SA,1,2026,380.02
SA,2,2026,274.41
SA,4,2026,191.91
TAS,0.5,2026,261.53
TAS,1,2026,205.46
TAS,2,2026,158.67
TAS,4,2026,121.93
VIC,0.5,2026,437.66
VIC,1,2026,305.35
VIC,2,2026,218.23
VIC,4,2026,160.51
NSW,0.5,2027,369.19
NSW,1,2027,269.72
NSW,2,2027,188.47
NSW,4,2027,137.8
QLD,0.5,2027,446.16
QLD,1,2027,341.81
QLD,2,2027,244.55
QLD,4,2027,177.01
SA,0.5,2027,601.75
SA,1,2027,418.46
SA,2,2027,288.13
SA,4,2027,198.32
TAS,0.5,2027,262.86
TAS,1,2027,198.3
TAS,2,2027,152.7
TAS,4,2027,117.12
VIC,0.5,2027,331.61
VIC,1,2027,251.19
VIC,2,2027,184.85
VIC,4,2027,138.82
NSW,0.5,2028,294.23
NSW,1,2028,230.04
NSW,2,2028,174.83
NSW,4,2028,129.94
QLD,0.5,2028,519.56
QLD,1,2028,357.85
QLD,2,2028,243.69
QLD,4,2028,172.56
SA,0.5,2028,483.61
SA,1,2028,351.44
SA,2,2028,251.6
SA,4,2028,177.53
TAS,0.5,2028,254.98
TAS,1,2028,202.82
TAS,2,2028,156.1
TAS,4,2028,118.75
VIC,0.5,2028,345.46
VIC,1,2028,241.47
VIC,2,2028,178.76
VIC,4,2028,134.62
NSW,0.5,2029,452.84
NSW,1,2029,310.28
NSW,2,2029,216.01
NSW,4,2029,156.18
QLD,0.5,2029,483.39
QLD,1,2029,356.7
QLD,2,2029,249.81
QLD,4,2029,177.04
SA,0.5,2029,475.7
SA,1,2029,348.37
SA,2,2029,251.42
SA,4,2029,178.07
TAS,0.5,2029,279.56
TAS,1,2029,214.69
TAS,2,2029,164.47
TAS,4,2029,125.86
VIC,0.5,2029,308.6
VIC,1,2029,241.75
VIC,2,2029,188.46
VIC,4,2029,144.91
NSW,0.5,2030,303.8
NSW,1,2030,242.49
NSW,2,2030,178.13
NSW,4,2030,133
QLD,0.5,2030,466.45
QLD,1,2030,337
QLD,2,2030,236.92
QLD,4,2030,170.01
SA,0.5,2030,455.57
SA,1,2030,333.36
SA,2,2030,242
SA,4,2030,173.92
TAS,0.5,2030,279.26
TAS,1,2030,209
TAS,2,2030,161.77
TAS,4,2030,124.45
VIC,0.5,2030,299.45
VIC,1,2030,222.58
VIC,2,2030,172.84
VIC,4,2030,137.46
NSW,0.5,2031,273.33
NSW,1,2031,197.05
NSW,2,2031,140.1
NSW,4,2031,100.36
QLD,0.5,2031,467.38
QLD,1,2031,325.13
QLD,2,2031,219.88
QLD,4,2031,151.72
SA,0.5,2031,425.19
SA,1,2031,322.04
SA,2,2031,226.52
SA,4,2031,155.04
TAS,0.5,2031,257.75
TAS,1,2031,198.96
TAS,2,2031,152.04
TAS,4,2031,115.81
VIC,0.5,2031,229.83
VIC,1,2031,184.91
VIC,2,2031,145.02
VIC,4,2031,112.54
NSW,0.5,2032,317.44
NSW,1,2032,214.73
NSW,2,2032,151.8
NSW,4,2032,108.46
QLD,0.5,2032,310.28
QLD,1,2032,239.18
QLD,2,2032,173.8
QLD,4,2032,121.93
SA,0.5,2032,407.07
SA,1,2032,314.78
SA,2,2032,225.14
SA,4,2032,155.56
TAS,0.5,2032,250.13
TAS,1,2032,195.67
TAS,2,2032,151.21
TAS,4,2032,116.11
VIC,0.5,2032,240.28
VIC,1,2032,193.74
VIC,2,2032,146.15
VIC,4,2032,112.87
NSW,0.5,2033,348.48
NSW,1,2033,236.36
NSW,2,2033,163.61
NSW,4,2033,116.71
QLD,0.5,2033,370.41
QLD,1,2033,264.27
QLD,2,2033,181.41
QLD,4,2033,125.13
SA,0.5,2033,425.68
SA,1,2033,324.29
SA,2,2033,229.49
SA,4,2033,158
TAS,0.5,2033,251.95
TAS,1,2033,195.99
TAS,2,2033,152.92
TAS,4,2033,118.8
VIC,0.5,2033,211.38
VIC,1,2033,172.31
VIC,2,2033,138.26
VIC,4,2033,109.14
NSW,0.5,2034,308.66
NSW,1,2034,228.65
NSW,2,2034,167.68
NSW,4,2034,122.39
QLD,0.5,2034,366.08
QLD,1,2034,267.99
QLD,2,2034,191.2
QLD,4,2034,137.08
SA,0.5,2034,395.64
SA,1,2034,318.17
SA,2,2034,224.5
SA,4,2034,157.55
TAS,0.5,2034,257.6
TAS,1,2034,196.73
TAS,2,2034,155.1
TAS,4,2034,121.45
VIC,0.5,2034,214.54
VIC,1,2034,174.12
VIC,2,2034,140.28
VIC,4,2034,112.24
NSW,0.5,2035,339.14
NSW,1,2035,246.82
NSW,2,2035,170.43
NSW,4,2035,121.88
QLD,0.5,2035,406.31
QLD,1,2035,277.32
QLD,2,2035,190.3
QLD,4,2035,133
SA,0.5,2035,448.28
SA,1,2035,313.57
SA,2,2035,217.12
SA,4,2035,150.25
TAS,0.5,2035,239.41
TAS,1,2035,193.88
TAS,2,2035,152.48
TAS,4,2035,118.8
VIC,0.5,2035,244.62
VIC,1,2035,181.52
VIC,2,2035,139.4
VIC,4,2035,109.01
NSW,0.5,2036,374.03
NSW,1,2036,282.84
NSW,2,2036,212.13
NSW,4,2036,156.24
QLD,0.5,2036,447.33
QLD,1,2036,332.83
QLD,2,2036,235.75
QLD,4,2036,166.31
SA,0.5,2036,502.07
SA,1,2036,364.69
SA,2,2036,258.79
SA,4,2036,182.61
TAS,0.5,2036,266.08
TAS,1,2036,210.06
TAS,2,2036,169.08
TAS,4,2036,134.06
VIC,0.5,2036,414.57
VIC,1,2036,332.49
VIC,2,2036,237.92
VIC,4,2036,169.92
NSW,0.5,2037,409.72
NSW,1,2037,314.83
NSW,2,2037,227.31
NSW,4,2037,166.03
QLD,0.5,2037,482.95
QLD,1,2037,338.32
QLD,2,2037,237.2
QLD,4,2037,167.59
SA,0.5,2037,517.97
SA,1,2037,362.45
SA,2,2037,256.01
SA,4,2037,180.03
TAS,0.5,2037,270.19
TAS,1,2037,214.02
TAS,2,2037,170.29
TAS,4,2037,134.59
VIC,0.5,2037,445.81
VIC,1,2037,327.38
VIC,2,2037,232.91
VIC,4,2037,168.4
NSW,0.5,2038,441.99
NSW,1,2038,326.45
NSW,2,2038,235.1
NSW,4,2038,169.48
QLD,0.5,2038,447.36
QLD,1,2038,324.25
QLD,2,2038,230.38
QLD,4,2038,162.94
SA,0.5,2038,511.81
SA,1,2038,367.39
SA,2,2038,260.61
SA,4,2038,183.97
TAS,0.5,2038,255.24
TAS,1,2038,212.75
TAS,2,2038,170.94
TAS,4,2038,135.73
VIC,0.5,2038,483.13
VIC,1,2038,339.8
VIC,2,2038,236.93
VIC,4,2038,169.54
NSW,0.5,2039,453.98
NSW,1,2039,320.09
NSW,2,2039,234.86
NSW,4,2039,169.06
QLD,0.5,2039,396.12
QLD,1,2039,297.65
QLD,2,2039,220.4
QLD,4,2039,162.57
SA,0.5,2039,486.47
SA,1,2039,349.99
SA,2,2039,248.55
SA,4,2039,180.05
TAS,0.5,2039,256.8
TAS,1,2039,213.72
TAS,2,2039,171.34
TAS,4,2039,136.14
VIC,0.5,2039,398.78
VIC,1,2039,305.26
VIC,2,2039,223.56
VIC,4,2039,163.07
NSW,0.5,2040,482.09
NSW,1,2040,340.2
NSW,2,2040,234.31
NSW,4,2040,167.61
QLD,0.5,2040,417.77
QLD,1,2040,310.21
QLD,2,2040,225.1
QLD,4,2040,160.4
SA,0.5,2040,461.52
SA,1,2040,340.65
SA,2,2040,254.16
SA,4,2040,181.77
TAS,0.5,2040,256.33
TAS,1,2040,207.52
TAS,2,2040,167.79
TAS,4,2040,133.33
VIC,0.5,2040,498.01
VIC,1,2040,375.64
VIC,2,2040,269.48
VIC,4,2040,186.89
NSW,0.5,2041,362.45
NSW,1,2041,275.88
NSW,2,2041,200.99
NSW,4,2041,150.44
QLD,0.5,2041,455.33
QLD,1,2041,321.44
QLD,2,2041,228.75
QLD,4,2041,163.22
SA,0.5,2041,449.23
SA,1,2041,330.29
SA,2,2041,242.83
SA,4,2041,175.98
TAS,0.5,2041,252.56
TAS,1,2041,206.99
TAS,2,2041,168.29
TAS,4,2041,134.82
VIC,0.5,2041,523.4
VIC,1,2041,383.1
VIC,2,2041,259.49
VIC,4,2041,181.44
NSW,0.5,2042,378.88
NSW,1,2042,282.54
NSW,2,2042,207.47
NSW,4,2042,154.07
QLD,0.5,2042,412.78
QLD,1,2042,299.32
QLD,2,2042,217.89
QLD,4,2042,158.07
SA,0.5,2042,434.99
SA,1,2042,307.93
SA,2,2042,219.81
SA,4,2042,163.53
TAS,0.5,2042,262.23
TAS,1,2042,212.54
TAS,2,2042,172.07
TAS,4,2042,137.64
VIC,0.5,2042,605.52
VIC,1,2042,412.54
VIC,2,2042,278.92
VIC,4,2042,193.06
NSW,0.5,2043,378.76
NSW,1,2043,282.53
NSW,2,2043,207.42
NSW,4,2043,154.03
QLD,0.5,2043,390.55
QLD,1,2043,306.47
QLD,2,2043,221.6
QLD,4,2043,161.29
SA,0.5,2043,390.79
SA,1,2043,291.92
SA,2,2043,216.85
SA,4,2043,162.3
TAS,0.5,2043,260.56
TAS,1,2043,212.75
TAS,2,2043,173.18
TAS,4,2043,138.64
VIC,0.5,2043,565.01
VIC,1,2043,383.42
VIC,2,2043,266.66
VIC,4,2043,186.73
NSW,0.5,2044,408.53
NSW,1,2044,297.43
NSW,2,2044,212.12
NSW,4,2044,156.81
QLD,0.5,2044,371.61
QLD,1,2044,285.3
QLD,2,2044,211.51
QLD,4,2044,156.88
SA,0.5,2044,426.2
SA,1,2044,320.6
SA,2,2044,238.23
SA,4,2044,174.21
TAS,0.5,2044,270.95
TAS,1,2044,215.43
TAS,2,2044,174.91
TAS,4,2044,139.72
VIC,0.5,2044,577.08
VIC,1,2044,391.83
VIC,2,2044,264.25
VIC,4,2044,185.22
NSW,0.5,2045,440.73
NSW,1,2045,307.21
NSW,2,2045,219.44
NSW,4,2045,160.89
QLD,0.5,2045,387.02
QLD,1,2045,281.78
QLD,2,2045,206.61
QLD,4,2045,153.1
SA,0.5,2045,440.96
SA,1,2045,307.63
SA,2,2045,219.29
SA,4,2045,162.85
TAS,0.5,2045,263.78
TAS,1,2045,214.55
TAS,2,2045,174.17
TAS,4,2045,139.69
VIC,0.5,2045,427.97
VIC,1,2045,320.17
VIC,2,2045,228.33
VIC,4,2045,165.67
NSW,0.5,2046,389.61
NSW,1,2046,299.75
NSW,2,2046,219.35
NSW,4,2046,160.98
QLD,0.5,2046,393.98
QLD,1,2046,288.7
QLD,2,2046,208.29
QLD,4,2046,155.22
SA,0.5,2046,430.13
SA,1,2046,304.26
SA,2,2046,217.22
SA,4,2046,161.56
TAS,0.5,2046,265.8
TAS,1,2046,215.64
TAS,2,2046,175.75
TAS,4,2046,141.06
VIC,0.5,2046,460.03
VIC,1,2046,328.02
VIC,2,2046,231.92
VIC,4,2046,166.96
NSW,0.5,2047,443.98
NSW,1,2047,312.85
NSW,2,2047,226.17
NSW,4,2047,164.31
QLD,0.5,2047,403.64
QLD,1,2047,288.13
QLD,2,2047,205.33
QLD,4,2047,154.18
SA,0.5,2047,451.86
SA,1,2047,309.97
SA,2,2047,220
SA,4,2047,163.1
TAS,0.5,2047,260.79
TAS,1,2047,214.29
TAS,2,2047,176.3
TAS,4,2047,142.25
VIC,0.5,2047,489.29
VIC,1,2047,338.55
VIC,2,2047,235.09
VIC,4,2047,168.85
NSW,0.5,2048,405.31
NSW,1,2048,301.81
NSW,2,2048,222.34
NSW,4,2048,161.45
QLD,0.5,2048,354.68
QLD,1,2048,263.34
QLD,2,2048,193.36
QLD,4,2048,145.4
SA,0.5,2048,530.28
SA,1,2048,369.25
SA,2,2048,256.26
SA,4,2048,181.5
TAS,0.5,2048,272.26
TAS,1,2048,218.93
TAS,2,2048,178.64
TAS,4,2048,143.59
VIC,0.5,2048,493.38
VIC,1,2048,318.43
VIC,2,2048,218.24
VIC,4,2048,158.58
NSW,0.5,2049,416.64
NSW,1,2049,308.13
NSW,2,2049,223.48
NSW,4,2049,162.26
QLD,0.5,2049,344.61
QLD,1,2049,255.17
QLD,2,2049,187.4
QLD,4,2049,142.66
SA,0.5,2049,476.57
SA,1,2049,343.86
SA,2,2049,240.18
SA,4,2049,173.09
TAS,0.5,2049,261.02
TAS,1,2049,219.11
TAS,2,2049,179.97
TAS,4,2049,145.67
VIC,0.5,2049,430.15
VIC,1,2049,309.91
VIC,2,2049,219.62
VIC,4,2049,161.55
NSW,0.5,2050,433.61
NSW,1,2050,296.99
NSW,2,2050,213.77
NSW,4,2050,155.47
QLD,0.5,2050,352.92
QLD,1,2050,265.85
QLD,2,2050,205.34
QLD,4,2050,158.96
SA,0.5,2050,481.16
SA,1,2050,331.96
SA,2,2050,230.15
SA,4,2050,166.18
TAS,0.5,2050,266.38
TAS,1,2050,217.05
TAS,2,2050,178.36
TAS,4,2050,144.26
VIC,0.5,2050,371.97
VIC,1,2050,283.86
VIC,2,2050,208.84
VIC,4,2050,154.12
NSW,0.5,2051,435.34
NSW,1,2051,298.52
NSW,2,2051,216.76
NSW,4,2051,157.96
QLD,0.5,2051,354.99
QLD,1,2051,267.33
QLD,2,2051,206.53
QLD,4,2051,160.22
SA,0.5,2051,445.4
SA,1,2051,318.81
SA,2,2051,228.29
SA,4,2051,168.69
TAS,0.5,2051,267.96
TAS,1,2051,218.39
TAS,2,2051,179.54
TAS,4,2051,145.23
VIC,0.5,2051,333.08
VIC,1,2051,277.14
VIC,2,2051,210.76
VIC,4,2051,154.11
NSW,0.5,2052,390.23
NSW,1,2052,294.43
NSW,2,2052,218.61
NSW,4,2052,160.36
QLD,0.5,2052,432.15
QLD,1,2052,299.82
QLD,2,2052,215.86
QLD,4,2052,161.38
SA,0.5,2052,487.6
SA,1,2052,354.91
SA,2,2052,251.88
SA,4,2052,180.08
TAS,0.5,2052,263.57
TAS,1,2052,219.68
TAS,2,2052,180.34
TAS,4,2052,145.7
VIC,0.5,2052,429.97
VIC,1,2052,301.34
VIC,2,2052,210.93
VIC,4,2052,153.99
NSW,0.5,2053,416.72
NSW,1,2053,295.87
NSW,2,2053,212.34
NSW,4,2053,155.37
QLD,0.5,2053,404.19
QLD,1,2053,310.2
QLD,2,2053,221.41
QLD,4,2053,163.7
SA,0.5,2053,443.88
SA,1,2053,318.09
SA,2,2053,227.68
SA,4,2053,168.14
TAS,0.5,2053,270.82
TAS,1,2053,219.28
TAS,2,2053,180.28
TAS,4,2053,145.68
VIC,0.5,2053,428.15
VIC,1,2053,295.97
VIC,2,2053,210.78
VIC,4,2053,153.81
NSW,0.5,2054,441.82
NSW,1,2054,315.51
NSW,2,2054,217.19
NSW,4,2054,157.94
QLD,0.5,2054,439.92
QLD,1,2054,312.4
QLD,2,2054,221.38
QLD,4,2054,163.73
SA,0.5,2054,448.81
SA,1,2054,322.2
SA,2,2054,230.73
SA,4,2054,169.54
TAS,0.5,2054,268.57
TAS,1,2054,219.28
TAS,2,2054,180.62
TAS,4,2054,146.22
VIC,0.5,2054,428.57
VIC,1,2054,296.44
VIC,2,2054,211.12
VIC,4,2054,154.11
NSW,0.5,2055,440.96
NSW,1,2055,314.74
NSW,2,2055,216.46
NSW,4,2055,157.4
QLD,0.5,2055,438.92
QLD,1,2055,311.17
QLD,2,2055,220.23
QLD,4,2055,162.68
SA,0.5,2055,421.65
SA,1,2055,323.87
SA,2,2055,238.96
SA,4,2055,172.67
TAS,0.5,2055,268.43
TAS,1,2055,219.14
TAS,2,2055,180.63
TAS,4,2055,146.16
VIC,0.5,2055,444.41
VIC,1,2055,310.23
VIC,2,2055,215.98
VIC,4,2055,156.08
NSW,0.5,2056,381.11
NSW,1,2056,287.75
NSW,2,2056,208.84
NSW,4,2056,153.61
QLD,0.5,2056,434.24
QLD,1,2056,308.91
QLD,2,2056,218.44
QLD,4,2056,161.52
SA,0.5,2056,489.47
SA,1,2056,366.85
SA,2,2056,251
SA,4,2056,177.08
TAS,0.5,2056,269.52
TAS,1,2056,220.45
TAS,2,2056,180.74
TAS,4,2056,145.71
VIC,0.5,2056,429.17
VIC,1,2056,302.85
VIC,2,2056,211.98
VIC,4,2056,154.06
NSW,0.5,2057,437.44
NSW,1,2057,307.47
NSW,2,2057,215.74
NSW,4,2057,156.88
QLD,0.5,2057,443.23
QLD,1,2057,314.02
QLD,2,2057,224.12
QLD,4,2057,164.87
SA,0.5,2057,479.04
SA,1,2057,335.79
SA,2,2057,235.9
SA,4,2057,171.83
TAS,0.5,2057,268.54
TAS,1,2057,218.52
TAS,2,2057,180.01
TAS,4,2057,146.05
VIC,0.5,2057,425.45
VIC,1,2057,318.23
VIC,2,2057,218.1
VIC,4,2057,157.15
NSW,0.5,2058,396.46
NSW,1,2058,291.12
NSW,2,2058,213.64
NSW,4,2058,155.09
QLD,0.5,2058,438.98
QLD,1,2058,306.6
QLD,2,2058,217.02
QLD,4,2058,160.01
SA,0.5,2058,530.22
SA,1,2058,366.7
SA,2,2058,249.45
SA,4,2058,175.01
TAS,0.5,2058,260.1
TAS,1,2058,217.12
TAS,2,2058,179.37
TAS,4,2058,145.31
VIC,0.5,2058,361.58
VIC,1,2058,293.82
VIC,2,2058,217.39
VIC,4,2058,156.62
NSW,0.5,2059,390.36
NSW,1,2059,297.99
NSW,2,2059,211.26
NSW,4,2059,153.38
QLD,0.5,2059,390.51
QLD,1,2059,285.32
QLD,2,2059,213.27
QLD,4,2059,161.05
SA,0.5,2059,486.82
SA,1,2059,349.57
SA,2,2059,244.05
SA,4,2059,172.25
TAS,0.5,2059,268.38
TAS,1,2059,218.1
TAS,2,2059,179.51
TAS,4,2059,145.1
VIC,0.5,2059,452.35
VIC,1,2059,311.84
VIC,2,2059,216.84
VIC,4,2059,155.87
NSW,0.5,2060,374.58
NSW,1,2060,279
NSW,2,2060,207.48
NSW,4,2060,152.08
QLD,0.5,2060,396.37
QLD,1,2060,295.86
QLD,2,2060,216.08
QLD,4,2060,159.72
SA,0.5,2060,519.42
SA,1,2060,361.06
SA,2,2060,252.03
SA,4,2060,177.28
TAS,0.5,2060,273.35
TAS,1,2060,218.67
TAS,2,2060,178.64
TAS,4,2060,144.26
VIC,0.5,2060,502.13
VIC,1,2060,320.34
VIC,2,2060,216.7
VIC,4,2060,155.32
